part_id,stock_level,cost_price,entry_date
SP-267,289,240.55,2024-06-03
SP-475,229,54.98,2024-10-24
SP-314,229,236.83,2024-04-07
SP-150,330,53.41,2024-09-17
SP-462,271,421.0,2024-01-19
SP-113,457,296.24,2025-01-11
SP-213,379,388.94,2024-07-10
SP-288,229,437.67,2024-06-01
SP-258,126,11.16,2025-04-23
SP-178,229,356.87,2025-01-01
SP-353,60,19.81,2024-05-31
SP-127,5,32.23,2024-01-27
SP-481,191,440.0,2024-06-13
SP-463,354,131.75,2024-04-11
SP-408,229,68.51,2025-07-17
SP-401,5,432.11,2024-07-23
SP-191,191,348.86,2024-12-26
SP-188,51,242.0,2025-06-17
SP-153,370,254.49,2025-04-08
SP-176,423,63.12,2024-04-28
SP-124,446,219.0,2024-10-25
SP-424,48,220.54,2024-08-17
SP-106,5,255.81,2024-02-18
SP-132,0,184.09,2025-04-15
SP-245,265,262.12,2025-07-13
SP-153,229,367.35,2024-09-02
SP-427,5,303.25,2024-05-19
SP-302,0,304.0,2024-03-16
SP-273,381,220.44,2024-02-08
SP-191,227,266.47,2024-09-10
SP-448,22,34.93,2025-02-04
SP-445,158,241.3,2024-06-01
SP-411,135,265.9,2024-08-27
SP-466,0,384.52,2025-07-28
SP-229,76,69.63,2024-06-17
SP-185,0,87.0,2024-05-02
SP-127,435,285.13,2024-01-05
SP-436,124,25.56,2024-04-01
SP-152,415,233.39,2025-05-15
SP-110,123,305.0,2025-02-23
SP-314,75,162.0,2024-01-24
SP-245,5,30.0,2024-04-21
SP-428,432,18.75,2024-09-22
SP-105,86,94.0,2024-09-19
SP-350,428,416.64,2025-04-21
SP-214,159,194.94,2024-12-28
SP-326,88,40.79,2024-08-30
SP-238,360,70.36,2024-07-09
SP-329,191,188.08,2025-07-24
SP-291,454,397.23,2024-03-22
SP-263,434,315.0,2024-05-08
SP-434,198,320.75,2025-06-02
SP-407,0,133.99,2025-05-11
SP-247,5,104.61,2025-03-29
SP-434,294,187.0,2025-06-02
SP-318,464,126.69,2025-01-11
SP-334,273,282.13,2024-01-31
SP-467,204,446.48,2024-08-06
SP-233,16,53.77,2024-05-12
SP-129,250,181.81,2024-07-24
SP-469,477,140.12,2024-07-13
SP-349,229,46.22,2024-09-13
SP-300,6,258.64,2024-01-16
SP-295,292,96.26,2024-03-29
SP-447,485,443.77,2024-01-30
SP-249,485,345.4,2025-06-30
SP-163,5,273.0,2025-01-28
SP-457,399,56.81,2024-09-18
SP-250,109,292.0,2024-07-08
SP-417,137,143.41,2025-07-12
SP-164,187,272.0,2024-08-25
SP-409,244,279.47,2025-01-15
SP-257,96,205.85,2024-10-28
SP-268,240,433.89,2025-05-02
SP-227,229,422.3,2024-07-27
SP-131,65,232.71,2024-12-19
SP-259,372,419.4,2024-11-15
SP-297,440,37.36,2024-03-20
SP-130,93,39.37,2025-02-07
SP-163,396,253.42,2024-04-26
SP-485,487,62.7,2024-12-19
SP-278,0,447.7,2024-09-14
SP-189,357,300.18,2024-03-03
SP-251,5,435.0,2024-10-15
SP-160,352,102.17,2025-04-18
SP-115,376,217.87,2024-01-28
SP-350,291,70.03,2025-05-26
SP-421,214,168.6,2024-01-24
SP-373,5,338.06,2024-03-17
SP-155,482,266.53,2025-06-09
SP-166,71,55.75,2025-07-16
SP-206,470,194.19,2025-02-16
SP-334,457,306.2,2024-08-28
SP-259,291,13.0,2024-10-16
SP-474,276,168.93,2024-12-26
SP-188,11,351.0,2024-07-29
SP-308,229,410.71,2025-01-03
SP-242,124,389.75,2024-08-06
SP-220,201,378.0,2024-09-12
SP-176,179,236.68,2025-07-05
SP-397,344,447.66,2025-07-09
SP-129,366,56.32,2024-11-11
SP-399,462,15.22,2024-02-17
SP-255,366,402.24,2025-01-13
SP-256,209,361.26,2024-12-17
SP-423,275,288.55,2024-12-25
SP-148,408,161.28,2024-03-04
SP-355,146,70.3,2024-01-26
SP-262,282,432.78,2024-12-08
SP-216,89,68.47,2025-06-17
SP-187,164,64.0,2024-06-16
SP-194,247,107.59,2024-09-05
SP-441,76,411.12,2024-10-03
SP-476,222,7.99,2025-03-02
SP-396,366,429.0,2025-02-21
SP-470,127,368.62,2024-08-14
SP-378,92,433.58,2024-10-07
SP-195,371,176.0,2024-04-08
SP-276,229,185.8,2024-08-01
SP-324,487,103.95,2024-01-11
SP-185,19,128.65,2024-05-28
SP-215,120,332.06,2025-07-28
SP-112,496,25.07,2024-03-03
SP-352,375,274.8,2024-11-23
SP-279,229,385.41,2024-07-27
SP-459,5,356.41,2025-01-23
SP-131,5,265.75,2025-07-16
SP-462,328,313.86,2024-04-26
SP-230,0,73.55,2024-10-11
SP-372,425,220.51,2025-04-05
SP-247,60,124.6,2025-03-03
SP-379,5,123.98,2025-02-09
SP-260,116,332.93,2025-05-02
SP-294,6,34.25,2024-08-05
SP-445,31,102.79,2024-06-02
SP-265,229,293.56,2025-04-14
SP-459,327,25.43,2024-01-01
SP-426,122,148.14,2024-01-18
SP-477,0,127.62,2025-03-15
SP-238,142,37.0,2024-09-14
SP-244,49,65.99,2024-05-26
SP-334,474,449.0,2025-06-15
SP-187,90,405.0,2025-07-14
SP-166,225,325.07,2025-02-24
SP-407,178,366.13,2024-07-10
SP-165,434,123.99,2024-04-29
SP-350,460,168.07,2025-02-22
SP-304,195,243.3,2024-04-09
SP-464,5,38.0,2025-07-05
SP-164,396,376.51,2024-12-29
SP-218,257,447.17,2024-08-05
SP-148,467,246.24,2024-07-25
SP-173,308,277.0,2024-07-03
SP-215,81,427.41,2025-05-08
SP-247,378,254.97,2025-04-14
SP-467,229,47.25,2025-04-05
SP-373,138,258.83,2024-12-02
SP-283,358,202.22,2025-05-26
SP-332,454,161.88,2024-12-29
SP-444,386,44.8,2024-08-21
SP-299,330,288.93,2024-05-15
SP-288,0,279.25,2025-04-15
SP-209,229,226.53,2024-07-09
SP-451,68,147.93,2024-09-04
SP-211,102,9.29,2024-03-30
SP-136,229,35.2,2025-05-16
SP-214,210,311.51,2025-01-13
SP-449,431,273.01,2025-03-13
SP-258,176,390.0,2024-06-20
SP-494,229,244.09,2025-05-07
SP-303,99,436.66,2024-04-26
SP-171,5,76.84,2025-07-15
SP-219,316,364.89,2025-04-15
SP-189,229,38.11,2024-10-08
SP-385,282,281.4,2025-07-14
SP-486,416,146.78,2025-06-30
SP-437,5,131.35,2025-06-08
SP-485,21,27.0,2025-01-01
SP-385,229,107.43,2025-07-13
SP-110,81,83.18,2025-02-10
SP-175,300,227.0,2025-07-22
SP-179,229,212.91,2024-06-24
SP-417,114,143.0,2024-08-20
SP-315,113,272.61,2024-06-12
SP-245,229,27.61,2024-08-07
SP-414,5,84.53,2024-08-11
SP-175,5,29.27,2024-12-23
SP-384,152,120.55,2024-09-29
SP-496,218,360.98,2025-05-14
SP-376,367,362.35,2025-03-27
SP-230,290,73.78,2024-12-31
SP-136,40,386.04,2024-12-30
SP-450,448,336.0,2024-09-06
SP-431,403,188.23,2025-06-21
SP-168,298,18.45,2024-08-27
SP-152,229,380.69,2024-03-07
SP-259,42,135.54,2024-01-14
SP-347,398,398.59,2025-05-08
SP-324,10,170.0,2025-06-10
SP-320,229,243.37,2025-06-05
SP-394,0,40.0,2025-05-25
SP-169,54,335.69,2024-03-11
SP-471,0,405.37,2024-03-05
SP-130,320,232.38,2025-01-29
SP-383,130,260.06,2024-11-21
SP-358,5,261.56,2024-08-16
SP-150,229,37.65,2024-07-02
SP-291,472,215.36,2024-12-10
SP-268,293,413.27,2024-10-05
SP-468,31,299.62,2024-06-26
SP-218,239,397.58,2024-11-05
SP-180,229,204.55,2025-02-12
SP-475,37,436.33,2025-02-12
SP-488,488,354.0,2025-06-11
SP-318,382,444.42,2024-05-31
SP-430,104,409.01,2025-07-30
SP-322,67,146.13,2024-02-28
SP-249,97,252.72,2024-04-09
SP-161,123,389.0,2025-03-28
SP-348,5,247.0,2025-02-16
SP-148,193,161.49,2024-03-12
SP-457,389,141.04,2024-08-19
SP-117,126,367.38,2024-05-24
SP-406,290,382.22,2025-04-05
SP-266,17,229.75,2024-01-25
SP-267,398,251.37,2024-09-26
SP-459,244,326.69,2025-01-30
SP-143,229,323.67,2024-12-04
SP-286,0,303.0,2024-08-25
SP-393,366,420.44,2025-03-14
SP-170,264,416.14,2024-09-17
SP-415,267,125.0,2024-06-25
SP-208,99,98.0,2025-02-07
SP-470,229,356.61,2024-07-13
SP-154,94,164.21,2024-09-21
SP-193,229,184.0,2024-05-22
SP-191,5,115.74,2025-03-17
SP-141,307,322.0,2024-01-27
SP-343,229,252.41,2025-03-04
SP-223,229,66.12,2025-03-22
SP-140,199,404.34,2024-03-24
SP-334,5,397.46,2025-07-01
SP-482,5,276.16,2024-04-28
SP-371,229,437.0,2024-01-01
SP-316,229,105.8,2025-05-18
SP-133,415,400.0,2025-07-28
SP-298,425,177.0,2024-05-05
SP-417,466,199.0,2024-09-01
SP-212,0,298.72,2025-07-14
SP-190,382,44.31,2024-11-26
SP-213,5,442.35,2024-02-02
SP-314,296,345.85,2024-03-19
SP-317,293,428.64,2024-04-17
SP-231,479,328.44,2024-08-12
SP-260,430,176.73,2025-07-13
SP-295,425,291.04,2025-05-18
SP-236,128,258.0,2025-07-17
SP-293,155,426.0,2025-07-14
SP-422,40,288.98,2025-07-12
SP-383,315,272.14,2024-11-22
SP-171,482,30.76,2024-12-24
SP-428,38,134.83,2024-12-29
SP-197,175,424.18,2024-01-11
SP-469,215,18.06,2025-04-21
SP-119,292,43.53,2024-05-08
SP-489,265,95.14,2024-04-17
SP-404,73,440.47,2025-04-13
SP-437,319,241.99,2024-07-03
SP-338,5,163.0,2024-04-19
SP-189,451,91.98,2025-01-13
SP-153,204,294.96,2024-11-10
SP-392,229,225.0,2024-10-07
SP-383,151,49.0,2024-09-26
SP-379,188,176.57,2025-04-24
SP-403,229,306.73,2024-12-28
SP-470,145,384.0,2024-08-04
SP-470,195,151.84,2024-07-26
SP-125,374,350.11,2024-02-08
SP-156,208,352.51,2024-02-18
SP-299,103,295.06,2024-02-24
SP-482,116,360.99,2025-05-24
SP-377,44,10.06,2025-07-24
SP-368,212,241.14,2025-02-19
SP-268,23,233.44,2025-02-03
SP-401,252,18.04,2025-02-16
SP-226,119,401.49,2024-09-13
SP-167,347,439.76,2024-03-16
SP-239,85,351.0,2025-02-22
SP-273,334,316.34,2024-01-01
SP-330,427,287.48,2025-02-11
SP-495,296,299.39,2025-01-23
SP-299,229,267.0,2024-05-14
SP-440,324,353.31,2024-05-24
SP-373,229,348.9,2025-02-16
SP-161,229,280.57,2024-08-19
SP-249,5,396.44,2025-05-13
SP-387,43,406.5,2024-09-13
SP-113,447,93.38,2024-10-24
SP-241,229,201.55,2024-07-30
SP-198,456,316.78,2025-04-17
SP-223,443,74.33,2025-01-08
SP-248,339,203.84,2025-05-17
SP-491,425,64.0,2024-09-04
SP-202,156,354.13,2025-01-17
SP-101,158,340.18,2025-04-03
SP-345,0,127.83,2024-10-23
SP-445,418,178.21,2025-05-18
SP-286,5,253.01,2024-05-13
SP-487,12,339.84,2025-06-27
SP-175,229,263.11,2024-10-12
SP-458,440,309.15,2024-07-28
SP-269,5,314.94,2024-05-10
SP-418,352,119.46,2025-03-10
SP-371,229,208.18,2024-10-12
SP-451,0,133.13,2024-02-28
SP-267,238,61.0,2025-07-27
SP-298,0,118.63,2024-01-31
SP-140,229,340.0,2025-05-01
SP-421,170,152.21,2025-03-14
SP-256,351,92.33,2024-06-18
SP-462,229,47.21,2024-01-13
SP-178,250,111.54,2024-08-25
SP-251,55,78.0,2024-02-15
SP-363,220,266.91,2024-04-22
SP-460,114,306.48,2024-04-28
SP-251,332,308.56,2024-12-12
SP-464,171,293.57,2024-05-28
SP-268,5,182.77,2024-01-21
SP-439,420,316.32,2024-09-23
SP-351,229,169.68,2024-06-26
SP-453,48,131.62,2025-02-18
SP-148,417,12.28,2024-02-15
SP-199,229,261.81,2024-11-29
SP-242,357,406.64,2025-03-19
SP-448,445,336.08,2024-06-21
SP-340,17,190.46,2024-10-15
SP-490,6,299.5,2024-01-24
SP-418,5,251.4,2024-10-14
SP-119,345,66.17,2024-09-10
SP-340,5,348.58,2025-07-29
SP-114,229,433.71,2024-10-09
SP-378,68,22.13,2025-03-03
SP-466,123,95.36,2024-08-15
SP-155,254,116.22,2024-09-10
SP-229,11,250.68,2024-05-21
SP-247,229,208.0,2025-07-09
SP-441,24,10.2,2024-08-08
SP-255,153,366.27,2024-08-06
SP-138,238,331.92,2024-10-08
SP-168,229,416.27,2025-04-30
SP-207,192,10.0,2024-04-14
SP-295,449,274.0,2024-03-13
SP-143,42,361.46,2024-05-23
SP-240,0,115.0,2024-10-12
SP-440,0,376.61,2024-01-25
SP-413,223,83.24,2024-04-24
SP-262,229,68.05,2024-12-26
SP-365,348,426.59,2024-01-26
SP-349,477,53.18,2024-04-24
SP-378,120,356.92,2024-11-08
SP-157,421,257.21,2024-06-25
SP-229,0,11.0,2024-10-07
SP-320,5,400.42,2025-06-19
SP-168,150,36.72,2025-06-19
SP-466,392,423.88,2025-02-08
SP-173,123,279.88,2024-07-23
SP-424,181,14.75,2024-06-12
SP-213,206,424.41,2024-10-25
SP-295,282,116.49,2024-04-16
SP-397,222,200.93,2024-11-14
SP-414,350,101.04,2025-04-19
SP-304,459,109.22,2024-06-18
SP-395,114,332.85,2024-12-24
SP-365,441,26.61,2025-07-07
SP-216,18,112.32,2024-04-16
SP-450,500,341.37,2025-02-10
SP-485,9,284.46,2025-02-19
SP-348,5,231.41,2024-10-08
SP-352,5,439.69,2024-12-05
SP-140,373,153.19,2024-10-01
SP-368,5,424.0,2025-02-20
SP-101,457,394.13,2025-04-17
SP-154,459,8.99,2024-06-09
SP-308,310,206.0,2024-06-14
SP-334,229,147.91,2024-01-16
SP-111,320,267.8,2025-01-24
SP-160,5,91.88,2024-07-04
SP-172,264,370.71,2024-10-14
SP-386,498,336.41,2024-12-24
SP-113,423,91.0,2024-07-27
SP-297,0,41.4,2024-01-08
SP-430,5,447.68,2024-01-19
SP-330,492,335.0,2024-09-07
SP-243,432,185.0,2024-12-04
SP-236,473,200.27,2025-05-28
SP-366,467,212.44,2025-02-10
SP-168,460,364.02,2024-07-22
SP-426,0,122.38,2024-08-26
SP-353,108,243.19,2025-06-04
SP-137,427,214.17,2024-11-14
SP-337,0,218.48,2025-03-22
SP-178,146,353.93,2025-04-13
SP-142,5,234.58,2024-08-31
SP-354,16,183.15,2025-02-12
SP-415,83,229.28,2025-07-28
SP-220,353,380.0,2024-08-04
SP-429,152,379.87,2024-09-21
SP-465,0,189.68,2024-12-17
SP-396,423,137.43,2025-07-06
SP-120,284,218.38,2025-05-13
SP-336,229,248.7,2024-04-25
SP-210,320,398.51,2024-02-22
SP-341,8,134.56,2024-07-01
SP-396,5,108.94,2024-07-16
SP-329,229,113.0,2025-03-18
SP-168,451,254.43,2025-02-19
SP-400,229,243.0,2024-08-31
SP-318,301,367.44,2025-03-28
SP-240,75,401.35,2024-07-26
SP-319,229,142.52,2024-01-27
SP-210,468,329.16,2024-04-26
SP-390,0,93.0,2024-08-08
SP-296,473,105.0,2024-05-15
SP-414,229,292.98,2024-07-07
SP-334,386,192.37,2025-03-10
SP-113,174,86.0,2025-01-01
SP-465,229,197.83,2024-05-30
SP-287,129,98.09,2025-05-15
SP-451,348,13.7,2024-01-12
SP-468,0,339.05,2025-05-24
SP-333,229,97.81,2024-11-05
SP-249,64,45.58,2025-05-08
SP-104,183,133.84,2024-09-09
SP-367,388,108.06,2025-01-19
SP-463,248,56.18,2024-12-03
SP-451,293,355.41,2024-09-09
SP-305,138,123.0,2024-08-01
SP-241,262,386.55,2025-07-27
SP-363,226,50.78,2024-02-26
SP-349,270,299.16,2024-10-14
SP-198,217,49.92,2024-11-16
SP-261,459,76.92,2025-06-06
SP-156,246,70.66,2025-01-22
SP-158,185,129.45,2025-03-26
SP-285,16,80.83,2025-03-25
SP-366,0,174.59,2024-11-24
SP-160,389,86.07,2024-01-29
SP-226,254,138.53,2024-09-25
SP-262,5,299.46,2024-11-21
SP-331,229,362.49,2025-04-18
SP-481,355,284.66,2024-09-19
SP-500,304,160.71,2024-05-08
SP-417,5,229.0,2024-04-20
SP-110,229,33.23,2025-01-02
SP-415,78,345.0,2025-01-12
SP-399,141,365.0,2024-11-23
SP-337,229,412.0,2024-09-25
SP-467,229,370.93,2025-07-21
SP-306,20,229.5,2025-01-25
SP-410,259,172.72,2025-06-01
SP-275,5,6.28,2025-02-01
SP-381,5,56.3,2024-12-28
SP-468,229,273.06,2025-04-19
SP-223,0,449.5,2025-04-01
SP-478,142,334.52,2025-06-09
SP-236,268,203.25,2024-02-29
SP-443,434,310.71,2025-07-31
SP-312,0,416.02,2024-07-19
SP-449,5,376.67,2024-03-04
SP-360,5,430.69,2024-03-07
SP-356,446,123.93,2024-04-17
SP-413,430,288.45,2024-03-08
SP-231,47,297.56,2025-01-24
SP-424,235,260.0,2024-05-13
SP-391,264,352.64,2025-01-17
SP-213,86,153.95,2025-04-18
SP-481,474,331.0,2024-12-31
SP-364,53,59.23,2025-02-21
SP-328,453,130.64,2024-05-27
SP-225,330,44.67,2025-04-18
SP-169,486,95.23,2025-05-18
SP-380,113,276.29,2024-12-08
SP-220,301,349.57,2025-04-09
SP-187,438,315.0,2024-08-28
SP-428,229,200.07,2024-03-10
SP-358,108,401.13,2024-11-26
SP-433,168,398.42,2024-04-04
SP-267,0,31.96,2025-03-11
SP-181,229,357.26,2025-06-26
SP-234,229,298.97,2024-09-26
SP-332,457,443.84,2024-11-01
SP-128,435,107.44,2025-04-05
SP-182,229,167.09,2025-03-22
SP-374,159,400.86,2025-05-17
SP-225,499,57.48,2025-05-15
SP-107,0,68.77,2024-03-26
SP-157,429,395.66,2024-12-28
SP-434,20,114.47,2025-02-26
SP-418,0,302.0,2024-12-15
SP-305,164,70.26,2025-05-28
SP-227,149,341.44,2025-04-16
SP-173,255,345.65,2024-03-04
SP-291,229,310.78,2024-12-06
SP-161,229,360.11,2024-12-17
SP-204,302,287.83,2025-05-11
SP-327,492,78.29,2024-12-04
SP-388,30,64.89,2024-01-24
SP-208,303,186.92,2024-01-19
SP-375,360,57.63,2024-08-15
SP-225,0,149.84,2024-11-15
SP-271,378,173.92,2025-04-01
SP-124,110,387.0,2024-08-28
SP-291,0,211.41,2025-05-29
SP-209,177,8.99,2024-06-22
SP-405,5,99.3,2025-03-21
SP-384,5,172.7,2025-01-02
SP-314,203,97.34,2024-11-14
SP-369,51,201.2,2025-04-19
SP-224,229,16.63,2025-07-29
SP-462,143,388.06,2025-03-07
SP-229,327,158.0,2024-03-31
SP-193,214,338.86,2025-01-20
SP-480,32,82.62,2024-08-05
SP-145,229,432.19,2025-07-21
SP-305,226,17.12,2024-12-28
SP-360,0,149.85,2024-12-03
SP-285,30,248.63,2025-04-02
SP-323,43,155.51,2024-12-02
SP-135,229,191.37,2024-08-14
SP-465,361,327.97,2024-03-21
SP-109,236,285.61,2025-06-01
SP-263,212,107.33,2025-04-13
SP-159,440,375.84,2024-09-06
SP-416,34,88.1,2024-09-05
SP-412,318,108.0,2024-03-07
SP-152,91,265.0,2024-02-21
SP-210,268,15.23,2024-09-29
SP-355,159,313.29,2024-02-15
SP-373,497,255.0,2025-06-09
SP-330,0,258.56,2025-03-29
SP-226,386,95.83,2024-08-29
SP-337,254,291.17,2025-04-16
SP-466,397,308.49,2025-04-16
SP-440,207,144.35,2024-05-21
SP-296,496,290.0,2025-03-25
SP-139,206,37.23,2025-02-10
SP-161,300,410.02,2024-06-18
SP-401,5,17.0,2025-05-29
SP-330,64,124.0,2024-06-16
SP-283,204,233.22,2024-12-17
SP-327,5,119.01,2025-02-27
SP-474,67,430.0,2024-06-09
SP-107,141,114.54,2024-08-21
SP-112,229,435.0,2025-04-23
SP-268,58,394.15,2024-12-24
SP-393,5,26.0,2025-05-30
SP-222,5,115.28,2025-04-24
SP-339,5,199.97,2024-09-18
SP-294,403,193.79,2024-04-17
SP-484,355,432.53,2024-07-02
SP-377,152,437.13,2025-07-23
SP-417,222,137.0,2024-08-26
SP-182,449,276.26,2024-04-30
SP-209,300,318.25,2024-01-11
SP-467,397,66.85,2025-05-14
SP-459,349,230.0,2024-02-04
SP-304,176,259.44,2025-01-24
SP-247,337,295.73,2024-07-12
SP-213,394,232.01,2024-01-16
SP-259,69,434.0,2024-02-26
SP-347,124,55.18,2024-10-14
SP-106,329,369.0,2024-02-17
SP-232,296,242.6,2024-10-21
SP-213,74,295.28,2025-04-27
SP-249,5,130.94,2025-05-24
SP-352,477,69.21,2024-12-13
SP-232,5,69.0,2024-12-13
SP-141,254,424.08,2024-01-25
SP-115,152,92.0,2024-09-30
SP-464,0,183.13,2025-06-13
SP-382,5,237.45,2025-07-02
SP-378,42,69.99,2025-07-26
SP-491,256,197.41,2025-03-18
SP-163,357,85.46,2025-06-07
SP-234,321,63.12,2025-06-04
SP-172,356,19.55,2024-12-23
SP-435,107,392.66,2024-08-06
SP-424,233,116.37,2024-02-13
SP-166,200,114.35,2024-02-11
SP-297,5,380.15,2025-06-30
SP-189,493,118.18,2025-06-04
SP-350,148,405.86,2024-11-26
SP-283,145,81.14,2024-05-01
SP-190,0,118.05,2025-05-04
SP-353,208,276.49,2024-03-05
SP-374,177,110.86,2025-01-15
SP-135,189,289.49,2024-02-17
SP-414,440,213.69,2024-06-19
SP-325,335,315.62,2024-05-06
SP-388,5,420.11,2024-08-10
SP-112,382,263.81,2024-10-24
SP-336,229,194.57,2024-12-10
SP-391,67,72.67,2024-10-09
SP-327,229,140.64,2025-03-20
SP-362,497,59.18,2024-02-27
SP-398,435,323.25,2025-02-25
SP-398,324,267.27,2025-02-23
SP-153,369,75.0,2025-07-21
SP-314,270,51.58,2024-02-08
SP-260,406,349.9,2025-06-20
SP-296,145,440.13,2024-12-16
SP-444,477,376.51,2024-08-18
SP-192,165,430.8,2024-10-18
SP-253,162,238.32,2024-10-08
SP-140,5,233.0,2024-05-17
SP-449,5,17.79,2025-02-10
SP-278,191,311.88,2024-06-23
SP-169,71,194.43,2025-07-11
SP-432,484,352.42,2025-05-08
SP-451,5,328.46,2024-03-07
SP-478,103,270.3,2024-09-15
SP-190,100,19.13,2025-05-12
SP-440,5,270.22,2024-02-10
SP-412,472,338.1,2024-03-15
SP-299,229,207.0,2025-07-07
SP-328,104,72.72,2025-03-14
SP-436,225,315.79,2024-04-13
SP-150,5,377.68,2024-07-24
SP-460,296,310.04,2024-08-08
SP-240,36,288.2,2024-05-19
SP-400,5,324.58,2024-02-01
SP-409,114,297.0,2024-09-23
SP-265,349,26.42,2024-02-26
SP-321,114,211.6,2024-06-21
SP-163,175,432.25,2025-05-17
SP-447,212,409.0,2024-02-12
SP-148,345,346.21,2024-05-16
SP-265,229,280.0,2024-11-09
SP-319,175,163.0,2024-01-25
SP-196,419,367.22,2024-09-23
SP-123,229,106.12,2024-07-22
SP-211,229,86.38,2024-11-17
SP-381,271,399.8,2024-08-14
SP-228,5,45.0,2024-06-27
SP-471,189,151.65,2024-01-30
SP-273,189,416.14,2024-03-26
SP-374,73,438.88,2025-07-03
SP-124,0,433.62,2024-08-06
SP-136,243,140.37,2025-06-29
SP-300,0,137.4,2024-07-20
SP-167,209,229.2,2024-09-22
SP-331,460,410.0,2024-06-12
SP-497,352,19.13,2025-04-22
SP-216,0,92.92,2024-05-18
SP-404,335,376.29,2024-10-30
SP-429,5,169.35,2025-07-12
SP-131,499,175.62,2025-02-14
SP-129,215,426.86,2024-06-22
SP-142,280,408.54,2024-06-13
SP-409,11,301.33,2024-05-24
SP-389,5,363.0,2025-06-20
SP-254,229,227.13,2024-12-14
SP-217,198,32.9,2025-07-29
SP-457,66,106.51,2025-04-07
SP-452,231,272.01,2024-11-17
SP-164,474,119.02,2025-02-16
SP-211,179,34.76,2025-05-24
SP-402,218,425.88,2024-03-15
SP-400,229,416.46,2024-06-30
SP-466,343,225.77,2024-02-25
SP-351,306,396.0,2025-06-26
SP-335,101,325.93,2024-11-02
SP-357,392,188.09,2025-05-16
SP-165,29,311.11,2024-09-21
SP-438,229,268.79,2025-07-10
SP-234,229,357.0,2024-10-05
SP-426,281,440.37,2024-10-26
SP-277,0,260.18,2024-05-16
SP-355,221,336.5,2025-07-20
SP-356,357,321.64,2024-08-20
SP-331,229,240.95,2024-12-05
SP-223,0,431.5,2024-10-31
SP-260,5,81.22,2025-02-13
SP-298,125,148.0,2024-09-02
SP-439,193,429.34,2024-08-06
SP-156,428,397.96,2024-02-01
SP-300,349,376.0,2025-06-28
SP-294,466,422.0,2025-03-11
SP-499,5,252.41,2025-01-23
